match_id,opponent,set_no,shirt_no,player_name,rallies_played,rallies_pct,minutes_played,time_played_pct,total_points,total_faults,scorer_efficiency,attack_attempts,attack_points,attack_faults,block_attempts,block_points,block_faults,serve_attempts,serve_aces,serve_faults,reception_attempts,reception_perfect,reception_faults,dig_attempts,dig_success,set_attempts,set_success
28624,PAR,MATCH,1,Léo,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28624,PAR,MATCH,2,Bender,20,16.0,4.44,15.46,0,2,-2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,8,3
28624,PAR,MATCH,6,Robert,17,13.6,3.89,13.52,2,1,2,2,2,0,0,0,0,1,0,0,2,1,1,0,0,0,0
28624,PAR,MATCH,7,Paulo,85,68.0,19.5,67.84,8,8,2,13,6,4,3,2,1,5,0,1,9,0,0,4,1,1,0
28624,PAR,MATCH,8,Sabino,47,37.6,10.71,37.24,4,3,1,6,4,0,2,0,2,5,0,1,0,0,0,1,0,1,0
28624,PAR,MATCH,9,Geovane,68,54.4,16.48,57.32,11,7,4,10,9,1,8,2,6,11,0,0,1,0,0,1,1,1,0
28624,PAR,MATCH,10,Marcus C.,40,32.0,9.25,32.16,3,2,1,3,3,0,2,0,1,6,0,1,5,3,0,6,3,0,0
28624,PAR,MATCH,11,Yan,52,41.6,12.22,42.5,5,5,0,4,4,0,4,1,2,9,0,3,0,0,0,1,1,1,0
28624,PAR,MATCH,12,Bieler,105,84.0,24.31,84.54,2,4,0,0,0,0,4,1,1,7,1,1,1,0,0,2,1,40,10
28624,PAR,MATCH,14,Maicon,108,86.4,24.86,86.48,10,4,8,11,8,1,1,1,0,10,1,1,7,1,2,6,5,1,0
28624,PAR,MATCH,16,Thiery,16,12.8,3.74,13.01,1,1,0,1,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0
28624,PAR,MATCH,18,Samuel,78,62.4,18.04,62.76,4,6,0,8,4,2,1,0,1,10,0,1,0,0,0,4,1,1,0
28624,PAR,MATCH,20,Bandini,92,73.6,20.09,69.89,0,1,0,0,0,0,0,0,0,0,0,0,16,8,1,5,5,3,0
28624,PAR,MATCH,21,Voss,22,17.6,4.97,17.29,2,1,1,2,2,0,1,0,0,4,0,1,0,0,0,0,0,0,0
28629,VEN,MATCH,1,Léo,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28629,VEN,MATCH,2,Bender,6,4.35,1.04,3.61,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,1
28629,VEN,MATCH,6,Robert,43,31.16,8.75,30.25,1,5,-4,5,1,2,2,0,2,2,0,1,5,2,0,0,0,0,0
28629,VEN,MATCH,7,Paulo,92,66.67,19.54,67.56,5,6,-1,8,5,2,2,0,2,6,0,2,10,3,0,3,2,0,0
28629,VEN,MATCH,8,Sabino,89,64.49,19.13,66.14,10,9,1,14,7,5,6,2,1,8,1,3,0,0,0,2,1,0,0
28629,VEN,MATCH,9,Geovane,84,60.87,17.8,61.54,10,4,7,10,8,0,6,2,3,12,0,0,0,0,0,0,0,2,0
28629,VEN,MATCH,10,Marcus C.,3,2.17,0.63,2.19,0,1,-1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
28629,VEN,MATCH,11,Yan,78,56.52,17.18,59.39,11,10,4,9,8,1,10,2,4,12,1,2,0,0,0,3,0,0,0
28629,VEN,MATCH,12,Bieler,132,95.65,27.88,96.39,1,5,-3,1,0,0,8,1,4,11,0,0,0,0,0,5,4,57,21
28629,VEN,MATCH,14,Maicon,138,100.0,28.92,100.0,16,10,8,19,13,3,5,2,2,12,1,3,19,6,1,3,2,1,0
28629,VEN,MATCH,16,Thiery,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28629,VEN,MATCH,18,Samuel,49,35.51,9.79,33.86,7,3,4,6,5,1,2,0,0,6,2,2,0,0,0,2,2,0,0
28629,VEN,MATCH,20,Bandini,114,82.61,22.87,79.08,0,1,0,0,0,0,0,0,0,0,0,0,24,9,1,3,1,6,0
28629,VEN,MATCH,21,Voss,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28632,COL,MATCH,1,Léo,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28632,COL,MATCH,2,Bender,10,5.32,2.47,5.96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,5,1
28632,COL,MATCH,6,Robert,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28632,COL,MATCH,7,Paulo,178,94.68,39.02,94.38,15,18,-1,23,13,7,5,2,3,15,0,6,24,3,1,6,4,5,0
28632,COL,MATCH,8,Sabino,137,72.87,30.83,74.55,18,11,9,23,16,3,4,2,2,17,0,4,1,0,0,7,3,1,0
28632,COL,MATCH,9,Geovane,114,60.64,25.37,61.36,10,5,6,13,8,1,6,2,2,13,0,1,0,0,0,3,3,2,0
28632,COL,MATCH,10,Marcus C.,49,26.06,10.42,25.21,2,2,0,4,2,1,0,0,0,2,0,1,8,5,0,2,1,1,0
28632,COL,MATCH,11,Yan,102,54.26,22.88,55.34,11,6,6,15,9,0,5,1,2,15,1,3,0,0,0,4,3,1,0
28632,COL,MATCH,12,Bieler,179,95.21,39.03,94.39,1,9,-6,1,0,1,10,1,4,12,0,2,1,0,0,6,4,82,16
28632,COL,MATCH,14,Maicon,149,79.26,33.25,80.41,14,12,2,24,12,6,7,1,2,15,1,4,16,6,0,4,4,2,0
28632,COL,MATCH,16,Thiery,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28632,COL,MATCH,18,Samuel,51,27.13,10.52,25.45,4,6,-2,7,3,2,3,1,2,3,0,2,1,0,0,0,0,0,0
28632,COL,MATCH,20,Bandini,159,84.57,34.3,82.95,0,6,0,0,0,0,0,0,0,0,0,0,31,15,3,12,3,6,0
28632,COL,MATCH,21,Voss,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28639,CHI,MATCH,1,Léo,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28639,CHI,MATCH,2,Bender,41,19.34,9.61,21.08,0,3,-2,1,0,1,1,0,1,4,0,0,0,0,0,2,1,20,5
28639,CHI,MATCH,6,Robert,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
